tq:q,ts:s,overlap
t1793:c0,t6711631:c2,86
t1793:c0,t6359497:c8,85
t1793:c0,t8700709:c2,88
t1793:c0,t8700709:c3,87
t1793:c0,t2992888:c2,94
t1793:c0,t2090130:c4,98
t1793:c0,t8285286:c1,96
t3967:c0,t8614580:c0,98
t3967:c0,t8737262:c2,98
t3967:c0,t7319715:c2,98
t3967:c0,t9205827:c2,98
t3967:c0,t6711631:c2,97
t3967:c0,t115249:c5,97
t3967:c0,t5769411:c3,98
t3967:c0,t6890489:c2,99
t3967:c0,t9262857:c5,96
t3967:c0,t4542234:c1,97
t3967:c0,t6359497:c8,98
t3967:c0,t2456584:c1,97
t3967:c0,t7396483:c5,97
t3967:c0,t9671222:c8,99
t3967:c0,t8700709:c2,84
t3967:c0,t8700709:c3,90
t3967:c0,t4490020:c1,97
t3967:c0,t5407894:c1,98
t3967:c0,t5813457:c1,98
t3967:c0,t2992888:c2,98
t3967:c0,t5498967:c1,98
t3967:c0,t8285286:c1,98
t7378:c9,t7593231:c1,91
t7378:c9,t6711631:c2,88
t7378:c9,t4542234:c1,94
t7378:c9,t8700709:c2,87
t7378:c9,t8700709:c3,88
t7378:c9,t2992888:c2,90
t7378:c9,t8285286:c1,94
t7821:c1,t6711631:c2,97
t7821:c1,t8700709:c3,86
t8999:c1,t1388363:c0,37
t8999:c1,t1388363:c12,63
t8999:c1,t3198605:c2,73
t8999:c1,t7593231:c1,37
t8999:c1,t7593231:c2,87
t8999:c1,t7926417:c0,37
t8999:c1,t7926417:c12,63
t8999:c1,t8183565:c4,35
t8999:c1,t8614580:c0,31
t8999:c1,t8737262:c2,65
t8999:c1,t9037196:c4,53
t8999:c1,t1265089:c0,38
t8999:c1,t1265089:c1,82
t8999:c1,t2185975:c1,33
t8999:c1,t3144709:c4,34
t8999:c1,t3353490:c0,38
t8999:c1,t3353490:c1,82
t8999:c1,t4578061:c0,39
t8999:c1,t4578061:c5,83
t8999:c1,t4937298:c0,38
t8999:c1,t4937298:c1,82
t8999:c1,t4945772:c0,38
t8999:c1,t4945772:c1,82
t8999:c1,t5029109:c0,38
t8999:c1,t5029109:c1,82
t8999:c1,t5321914:c4,35
t8999:c1,t549379:c1,33
t8999:c1,t5903373:c4,37
t8999:c1,t6959936:c5,36
t8999:c1,t7067197:c4,37
t8999:c1,t7557232:c5,35
t8999:c1,t8391425:c4,35
t8999:c1,t8495834:c0,38
t8999:c1,t8495834:c1,82
t8999:c1,t8930570:c4,40
t8999:c1,t9263337:c4,34
t8999:c1,t10052876:c4,39
t8999:c1,t1119059:c0,70
t8999:c1,t3383237:c4,42
t8999:c1,t4001117:c2,84
t8999:c1,t701738:c4,35
t8999:c1,t7319715:c2,65
t8999:c1,t7550138:c0,42
t8999:c1,t8477228:c4,60
t8999:c1,t9205827:c2,65
t8999:c1,t9236551:c2,39
t8999:c1,t6711631:c1,31
t8999:c1,t6711631:c2,28
t8999:c1,t115249:c5,38
t8999:c1,t1659746:c5,35
t8999:c1,t2096776:c0,33
t8999:c1,t3287297:c0,33
t8999:c1,t3295388:c0,33
t8999:c1,t4105424:c0,33
t8999:c1,t4148378:c4,35
t8999:c1,t5769411:c3,30
t8999:c1,t6261963:c0,33
t8999:c1,t6890489:c2,35
t8999:c1,t7561259:c4,34
t8999:c1,t8458946:c1,53
t8999:c1,t9018020:c4,36
t8999:c1,t9262857:c5,36
t8999:c1,t1381886:c4,35
t8999:c1,t1390838:c4,36
t8999:c1,t4341769:c4,34
t8999:c1,t4542234:c1,35
t8999:c1,t47423:c4,35
t8999:c1,t6191990:c1,53
t8999:c1,t6209022:c4,42
t8999:c1,t79546:c4,39
t8999:c1,t8370264:c1,36
t8999:c1,t8775866:c4,36
t8999:c1,t9355764:c8,79
t8999:c1,t6359497:c8,33
t8999:c1,t1839410:c4,46
t8999:c1,t2456584:c1,31
t8999:c1,t2456584:c2,84
t8999:c1,t2899292:c4,60
t8999:c1,t3321760:c4,37
t8999:c1,t5374414:c4,35
t8999:c1,t6581779:c4,35
t8999:c1,t7396483:c5,34
t8999:c1,t7434640:c4,37
t8999:c1,t9671222:c8,80
t8999:c1,t1199711:c4,35
t8999:c1,t1301448:c5,34
t8999:c1,t2612899:c4,36
t8999:c1,t4854762:c0,81
t8999:c1,t5063412:c4,35
t8999:c1,t5117860:c0,90
t8999:c1,t5129968:c0,36
t8999:c1,t582563:c0,85
t8999:c1,t7310667:c0,83
t8999:c1,t8023712:c4,34
t8999:c1,t8941086:c4,35
t8999:c1,t9184065:c4,34
t8999:c1,t8700709:c2,28
t8999:c1,t8700709:c3,30
t8999:c1,t10123484:c4,35
t8999:c1,t1683871:c0,37
t8999:c1,t2218323:c4,32
t8999:c1,t3350268:c4,85
t8999:c1,t3553910:c4,34
t8999:c1,t4490020:c1,34
t8999:c1,t4811582:c4,36
t8999:c1,t5229366:c4,37
t8999:c1,t5407894:c1,36
t8999:c1,t5813457:c1,36
t8999:c1,t64353:c4,42
t8999:c1,t6932615:c4,34
t8999:c1,t9295839:c0,85
t8999:c1,t1276527:c0,39
t8999:c1,t1492409:c0,89
t8999:c1,t2992888:c0,53
t8999:c1,t2992888:c2,37
t8999:c1,t3207665:c4,35
t8999:c1,t5498967:c1,36
t8999:c1,t5879266:c4,40
t8999:c1,t5980613:c4,34
t8999:c1,t5981839:c0,39
t8999:c1,t6449075:c0,88
t8999:c1,t6977621:c0,88
t8999:c1,t7107284:c0,83
t8999:c1,t7491525:c7,79
t8999:c1,t7491525:c8,53
t8999:c1,t8891993:c4,45
t8999:c1,t8975586:c4,32
t8999:c1,t3265765:c4,34
