tq:q,ts:s,overlap
t1793:c0,t8737262:c1,2
t1793:c0,t7319715:c1,2
t1793:c0,t9205827:c1,2
t1793:c0,t7802369:c3,1
t1793:c0,t1001449:c0,6
t1793:c0,t6711631:c1,86
t1793:c0,t7749676:c0,1
t1793:c0,t6540757:c7,1
t1793:c0,t7829686:c7,1
t1793:c0,t8529725:c7,1
t1793:c0,t9024743:c7,1
t1793:c0,t1120803:c4,1
t1793:c0,t8996760:c7,1
t1793:c0,t9357242:c7,1
t1793:c0,t10197560:c3,1
t1793:c0,t9097496:c0,1
t1793:c0,t696657:c2,2
t1793:c0,t1381007:c0,2
t1793:c0,t1381007:c2,1
t1793:c0,t1828015:c13,1
t1793:c0,t2448018:c0,5
t1793:c0,t8198731:c7,1
t1793:c0,t1388363:c0,2
t1793:c0,t7926417:c0,2
t1793:c0,t696657:c1,3
t1793:c0,t2448018:c1,4
t1793:c0,t3082081:c3,1
t1793:c0,t9743762:c3,1
t1793:c0,t1928103:c3,1
t1793:c0,t6156474:c3,1
t1793:c0,t7661:c1,2
t1793:c0,t7661:c3,1
t1793:c0,t6711631:c4,13
t1793:c0,t5722152:c1,1
t1793:c0,t10209869:c1,1
t1793:c0,t7441493:c0,2
t1793:c0,t4578061:c0,9
t1793:c0,t6540177:c1,1
t1793:c0,t5874053:c18,1
t1793:c0,t6977621:c3,3
t1793:c0,t10016186:c1,2
t1793:c0,t10187567:c0,1
t1793:c0,t2135573:c0,6
t1793:c0,t1493212:c0,10
t1793:c0,t153249:c0,10
t1793:c0,t4274292:c0,10
t1793:c0,t5552800:c0,10
t1793:c0,t7552063:c0,10
t1793:c0,t8054442:c0,10
t1793:c0,t1011515:c2,1
t1793:c0,t6864563:c4,3
t1793:c0,t4947979:c2,1
t1793:c0,t4047698:c23,1
t1793:c0,t8506527:c2,1
t1793:c0,t5347633:c2,2
t1793:c0,t696657:c0,1
t1793:c0,t5040064:c8,1
t1793:c0,t10099842:c1,1
t1793:c0,t1021991:c8,1
t1793:c0,t8030692:c8,1
t1793:c0,t4917262:c0,2
t1793:c0,t353267:c3,1
t1793:c0,t8185707:c3,1
t1793:c0,t5517316:c3,1
t1793:c0,t9721701:c3,1
t1793:c0,t7408743:c6,1
t1793:c0,t7442:c1,1
t1793:c0,t7442:c2,1
t1793:c0,t7442:c3,1
t1793:c0,t7442:c4,2
t1793:c0,t360436:c2,1
t1793:c0,t6711631:c3,3
t1793:c0,t1013430:c2,1
t1793:c0,t539876:c9,1
t1793:c0,t8198731:c11,1
t1793:c0,t10073772:c6,1
t1793:c0,t10252090:c8,1
t1793:c0,t7050609:c2,3
t1793:c0,t10290406:c1,3
t1793:c0,t4341769:c3,2
t1793:c0,t10187567:c2,2
t1793:c0,t10135362:c3,1
t1793:c0,t1296201:c3,2
t1793:c0,t1296201:c4,1
t1793:c0,t9161821:c22,1
t1793:c0,t8737262:c3,5
t1793:c0,t7319715:c3,5
t1793:c0,t9205827:c3,5
t1793:c0,t6471012:c0,1
t1793:c0,t6174996:c1,1
t1793:c0,t10012212:c1,1
t1793:c0,t8370264:c0,5
t1793:c0,t5011423:c6,8
t1793:c0,t1030205:c1,1
t1793:c0,t8700709:c3,531
t1793:c0,t5374414:c4,8
t1793:c0,t8737262:c2,75
t1793:c0,t7319715:c2,73
t1793:c0,t9205827:c2,73
t1793:c0,t2992888:c0,42
t1793:c0,t8458946:c1,8
t1793:c0,t8700709:c2,293
t1793:c0,t582563:c0,31
t1793:c0,t2218323:c4,8
t1793:c0,t6711631:c2,396
t1793:c0,t2456584:c1,48
t1793:c0,t1659746:c5,27
t1793:c0,t3422763:c0,6
t1793:c0,t4542234:c1,117
t1793:c0,t2090130:c4,51
t1793:c0,t4490020:c1,104
t1793:c0,t115249:c5,105
t1793:c0,t8975586:c4,8
t1793:c0,t10052876:c3,2
t1793:c0,t6174996:c5,46
t1793:c0,t3422763:c2,7
t1793:c0,t5640287:c2,5
t1793:c0,t2456584:c2,33
t1793:c0,t9295839:c0,37
t1793:c0,t6174996:c2,2
t1793:c0,t3952433:c0,2
t1793:c0,t10054842:c1,7
t1793:c0,t10110142:c1,3
t1793:c0,t10110599:c1,3
t1793:c0,t2448018:c2,3
t1793:c0,t1659746:c0,4
t1793:c0,t8614580:c0,197
t1793:c0,t6923471:c3,4
t1793:c0,t6711631:c8,1
t1793:c0,t6209022:c4,10
t1793:c0,t5498967:c1,46
t1793:c0,t6711631:c10,25
t1793:c0,t1133209:c4,5
t1793:c0,t7258489:c4,5
t1793:c0,t360436:c4,2
t1793:c0,t1265089:c1,8
t1793:c0,t3353490:c1,8
t1793:c0,t4937298:c1,8
t1793:c0,t4945772:c1,8
t1793:c0,t5029109:c1,8
t1793:c0,t8495834:c1,8
